age,mean,upper,sd,gender
24,16.57503,19.33801,1.684743902,boy
24.5,16.54777,19.2789,1.665323171,boy
25.5,16.49443,19.16466,1.628189024,boy
26.5,16.4426,19.05567,1.593335366,boy
27.5,16.39224,18.95187,1.56075,boy
28.5,16.34334,18.85317,1.530384146,boy
29.5,16.29584,18.75949,1.50222561,boy
30.5,16.24972,18.67078,1.476256098,boy
31.5,16.20495,18.58695,1.452439024,boy
32.5,16.1615,18.50792,1.430743902,boy
33.5,16.11933,18.43363,1.411158537,boy
34.5,16.07843,18.364,1.393640244,boy
35.5,16.03876,18.29895,1.378164634,boy
36.5,16.0003,18.23842,1.364707317,boy
37.5,15.96304,18.18231,1.353213415,boy
38.5,15.92695,18.13057,1.343670732,boy
39.5,15.89203,18.08311,1.33602439,boy
40.5,15.85824,18.03986,1.330256098,boy
41.5,15.82559,18.00074,1.326310976,boy
42.5,15.79406,17.96568,1.324158537,boy
43.5,15.76364,17.93459,1.32375,boy
44.5,15.73434,17.90741,1.325042683,boy
45.5,15.70614,17.88405,1.327993902,boy
46.5,15.67904,17.86444,1.332560976,boy
47.5,15.65305,17.8485,1.338689024,boy
48.5,15.62817,17.83614,1.346323171,boy
49.5,15.60441,17.8273,1.355420732,boy
50.5,15.58176,17.82189,1.365932927,boy
51.5,15.56025,17.81983,1.377792683,boy
52.5,15.53987,17.82104,1.390957317,boy
53.5,15.52065,17.82544,1.405359756,boy
54.5,15.50258,17.83295,1.420957317,boy
55.5,15.48569,17.84349,1.437682927,boy
56.5,15.46998,17.85699,1.455493902,boy
57.5,15.45546,17.87335,1.474323171,boy
58.5,15.44214,17.89252,1.494134146,boy
59.5,15.43003,17.9144,1.514859756,boy
60.5,15.41914,17.93893,1.536457317,boy
61.5,15.40947,17.96602,1.558871951,boy
62.5,15.40103,17.99562,1.582067073,boy
63.5,15.39382,18.02764,1.605987805,boy
64.5,15.38783,18.06201,1.630597561,boy
65.5,15.38307,18.09868,1.655859756,boy
66.5,15.37953,18.13758,1.681737805,boy
67.5,15.37721,18.17863,1.708182927,boy
68.5,15.37609,18.22179,1.735182927,boy
69.5,15.37618,18.26698,1.762682927,boy
70.5,15.37745,18.31416,1.790676829,boy
71.5,15.37991,18.36325,1.819109756,boy
72.5,15.38353,18.41421,1.84797561,boy
73.5,15.38831,18.46699,1.877243902,boy
74.5,15.39423,18.52152,1.906884146,boy
75.5,15.40127,18.57775,1.936878049,boy
76.5,15.40943,18.63564,1.96720122,boy
77.5,15.41869,18.69513,1.997829268,boy
78.5,15.42902,18.75617,2.02875,boy
79.5,15.44042,18.81872,2.059939024,boy
80.5,15.45288,18.88272,2.091365854,boy
81.5,15.46636,18.94814,2.123036585,boy
82.5,15.48087,19.01491,2.154902439,boy
83.5,15.49637,19.083,2.186969512,boy
84.5,15.51287,19.15236,2.21920122,boy
85.5,15.53034,19.22295,2.251591463,boy
86.5,15.54876,19.29471,2.284115854,boy
87.5,15.56812,19.36761,2.316762195,boy
88.5,15.58841,19.44161,2.349512195,boy
89.5,15.60961,19.51666,2.382347561,boy
90.5,15.63171,19.59272,2.41525,boy
91.5,15.65469,19.66974,2.44820122,boy
92.5,15.67853,19.74769,2.481195122,boy
93.5,15.70323,19.82652,2.51420122,boy
94.5,15.72877,19.9062,2.547213415,boy
95.5,15.75513,19.98668,2.580213415,boy
96.5,15.78231,20.06793,2.613182927,boy
97.5,15.81029,20.1499,2.646103659,boy
98.5,15.83905,20.23256,2.678969512,boy
99.5,15.86858,20.31587,2.711762195,boy
100.5,15.89888,20.39979,2.744457317,boy
101.5,15.92992,20.48429,2.777054878,boy
102.5,15.96169,20.56933,2.809536585,boy
103.5,15.99419,20.65487,2.841878049,boy
104.5,16.02741,20.74089,2.874073171,boy
105.5,16.06132,20.82733,2.906103659,boy
106.5,16.09591,20.91417,2.937963415,boy
107.5,16.13119,21.00138,2.969628049,boy
108.5,16.16712,21.08893,3.001103659,boy
109.5,16.20371,21.17677,3.032353659,boy
110.5,16.24094,21.26488,3.063378049,boy
111.5,16.2788,21.35323,3.094164634,boy
112.5,16.31728,21.44178,3.124695122,boy
113.5,16.35637,21.53051,3.154963415,boy
114.5,16.39606,21.61938,3.18495122,boy
115.5,16.43633,21.70837,3.214658537,boy
116.5,16.47718,21.79745,3.244067073,boy
117.5,16.5186,21.88659,3.273164634,boy
118.5,16.56057,21.97576,3.301945122,boy
119.5,16.60309,22.06494,3.330396341,boy
120.5,16.64614,22.15409,3.358506098,boy
121.5,16.68972,22.2432,3.386268293,boy
122.5,16.73381,22.33224,3.413676829,boy
123.5,16.7784,22.42118,3.440719512,boy
124.5,16.8235,22.51,3.467378049,boy
125.5,16.86907,22.59868,3.493664634,boy
126.5,16.91512,22.68719,3.519554878,boy
127.5,16.96164,22.77551,3.545042683,boy
128.5,17.00862,22.86363,3.570128049,boy
129.5,17.05604,22.95151,3.59479878,boy
130.5,17.1039,23.03915,3.619054878,boy
131.5,17.15218,23.12651,3.642884146,boy
132.5,17.20089,23.21358,3.66627439,boy
133.5,17.25,23.30035,3.689237805,boy
134.5,17.29951,23.38679,3.711756098,boy
135.5,17.34942,23.47289,3.733823171,boy
136.5,17.3997,23.55863,3.755445122,boy
137.5,17.45036,23.644,3.776609756,boy
138.5,17.50138,23.72897,3.797310976,boy
139.5,17.55276,23.81354,3.81754878,boy
140.5,17.60448,23.89769,3.837323171,boy
141.5,17.65653,23.98141,3.856634146,boy
142.5,17.70892,24.06469,3.875469512,boy
143.5,17.76162,24.1475,3.893829268,boy
144.5,17.81463,24.22985,3.911719512,boy
145.5,17.86795,24.31172,3.929128049,boy
146.5,17.92155,24.3931,3.946067073,boy
147.5,17.97544,24.47397,3.962518293,boy
148.5,18.02961,24.55434,3.978493902,boy
149.5,18.08404,24.6342,3.994,boy
150.5,18.13873,24.71352,4.009018293,boy
151.5,18.19367,24.79232,4.023567073,boy
152.5,18.24884,24.87058,4.037646341,boy
153.5,18.30426,24.94829,4.051237805,boy
154.5,18.35989,25.02545,4.064365854,boy
155.5,18.41574,25.10206,4.07702439,boy
156.5,18.4718,25.17811,4.089213415,boy
157.5,18.52805,25.2536,4.100945122,boy
158.5,18.5845,25.32853,4.112213415,boy
159.5,18.64113,25.40289,4.12302439,boy
160.5,18.69793,25.47668,4.133384146,boy
161.5,18.75489,25.5499,4.14329878,boy
162.5,18.81202,25.62256,4.152768293,boy
163.5,18.86929,25.69464,4.16179878,boy
164.5,18.9267,25.76616,4.170402439,boy
165.5,18.98424,25.83712,4.178585366,boy
166.5,19.04191,25.90751,4.186341463,boy
167.5,19.0997,25.97734,4.193682927,boy
168.5,19.15759,26.04662,4.200628049,boy
169.5,19.21558,26.11535,4.207176829,boy
170.5,19.27366,26.18353,4.213335366,boy
171.5,19.33182,26.25117,4.219115854,boy
